Flag,"Vessel Name","Destination Port","Reported Eta","Reported Destination","Calculated Eta","Current Port",Imo,"Vessel Type - Generic","Time Of Latest Position",Latitude,Longitude,"Current Port Unlocode"
Indonesia,"KP.GATOTKACA 7008",BENOA,"2019-09-19 07:00:00",BENOA,,JAKARTA,0,"Special Craft","2019-09-02 09:29:51",-6.107873,106.9622,IDJKT
Indonesia,"SAR 525019003",,,,,JAKARTA,0,"Search and Rescue","2020-05-21 09:56:15",-6.095352,106.8002,IDJKT
Indonesia,"KMP.APA SAJA",MAKASSAR,"2015-05-10 22:00:00",MAKASAR,,JAKARTA,0,"Sailing Vessel","2019-09-05 08:07:35",-6.129515,106.8053,IDJKT
Indonesia,RUSA,,"1900-01-01 00:00:00","No data (CLASS B transponder)",,JAKARTA,0,"Pleasure Craft","2020-05-16 09:36:30",-5.872905,106.1109,IDJKT
Indonesia,"KLM RACHIM J INDAH",,,"No data (CLASS B transponder)",,JAKARTA,0,Cargo,"2019-09-08 09:30:59",-6.117173,106.8081,IDJKT
Indonesia,"KLM HIDAYAH AKBAR",,,"No data (CLASS B transponder)",,JAKARTA,0,Cargo,"2019-09-06 03:41:53",-6.117784,106.8082,IDJKT
Indonesia,"CARAKA JAYA NIAGA III 26",CILEGON,"2015-09-09 17:00:00",CILEGON,,JAKARTA,9018294,Cargo,"2019-03-14 14:12:20",-6.109561,106.8935,IDJKT
Indonesia,KYK02,BANJARMASIN,"2019-03-11 12:00:00",BANJARMASIN,,JAKARTA,8679479,Tug,"2019-04-26 10:52:57",-6.126108,106.8889,IDJKT
Indonesia,"TB SJS SERVICE",,"1900-01-01 00:00:00",,,JAKARTA,0,Cargo,"2020-02-21 07:46:42",-6.137895,106.8082,IDJKT
Indonesia,"ALPINE MARINE 14",,,"No data (CLASS B transponder)",,"JAKARTA ANCH",0,Tug,"2019-08-08 05:10:08",-6.081002,106.8719,
Indonesia,"KM PULAU RUPAT JAYA",,"1900-01-01 00:00:00","No data (CLASS B transponder)",,JAKARTA,0,Fishing,"2020-04-12 14:55:20",-6.09372,106.8018,IDJKT
Indonesia,TEST,JAKARTA,"1900-01-01 00:00:00",JAKARTA,,JAKARTA,0,Fishing,"2020-04-08 04:23:46",-6.113465,106.8712,IDJKT
Indonesia,KP.SANJAYA,,"1900-01-01 00:00:00",,,JAKARTA,0,"Special Craft","2020-11-17 18:17:11",-6.11966,106.8632,IDJKT
Indonesia,"KM.REJEKI TIMUR.A",,,"No data (CLASS B transponder)",,JAKARTA,0,"Pleasure Craft","2020-02-16 14:35:10",-6.101733,106.8025,IDJKT
Indonesia,UNDAN,SURALAYA,"2018-05-26 23:18:00",,,JAKARTA,7047320,"Special Craft","2020-05-01 07:51:33",-6.119705,106.8631,IDJKT
Indonesia,"ROYAL PALMA 17",,,"No data (CLASS B transponder)",,"JAKARTA ANCH",9670896,Tug,"2019-01-15 07:11:11",-6.044338,106.8636,
Indonesia,GAGAK,,"2018-07-25 20:30:00","MIKE PHE FIELD",,JAKARTA,7047485,"Special Craft","2018-11-23 09:38:16",-6.087049,106.9615,IDJKT
Indonesia,"RIAU FORTUNE",JAKARTA,"2018-10-26 08:15:00","ID TG.PRIOK",,"JAKARTA ANCH",9382023,Cargo,"2018-09-07 12:57:26",-6.066248,106.8688,
Indonesia,"KAYU EBONI",JAKARTA,"1900-01-01 00:00:00",JAKARTA,,JAKARTA,9083524,Cargo,"2018-01-11 16:58:38",-6.120924,106.8757,IDJKT
Indonesia,"KM BUNGA MELATI 79",,,"No data (CLASS B transponder)",,JAKARTA,0,Cargo,"2018-05-25 04:05:32",-7.199306,112.7224,IDJKT
Indonesia,"TRIJAYA 1",,"1900-01-01 00:00:00",,,"JAKARTA ANCH",8207513,"Special Craft","2018-11-08 03:21:00",-6.07412,106.8875,
Indonesia,"MAHARANI TAMA",MERAK,"2017-08-02 13:00:00",MERAK,,JAKARTA,8905452,Tanker,"2017-09-20 14:30:09",-6.109523,106.8936,IDJKT
Indonesia,"PUTERI JUWITA",,,,,JAKARTA,8905294,Tanker,"2018-10-22 06:11:00",-6.087275,106.9614,IDJKT
Indonesia,"CB KUMAWA MEZZO",,,"No data (CLASS B transponder)",,"JAKARTA ANCH",0,"High Speed Craft","2019-02-12 15:43:20",-6.074845,106.9114,
Indonesia,"DUNIA M",,,"No data (CLASS B transponder)",,JAKARTA,0,Cargo,"2019-02-12 09:05:49",-6.13759,106.8083,IDJKT
Indonesia,KUMBA,SURABAYA,"2014-12-21 01:01:00",SURABAYA,,JAKARTA,7301946,"Special Craft","2020-02-17 08:37:30",-6.123333,106.8459,IDJKT
Indonesia,"KM TANJUNG BARU",,,"No data (CLASS B transponder)",,JAKARTA,0,Cargo,"2019-01-09 12:33:12",-6.107852,106.9622,IDJKT
Indonesia,860,,"2017-12-10 12:00:00","No data (CLASS B transponder)",,JAKARTA,0,"Special Craft","2019-03-19 00:13:30",-6.112818,106.8716,IDJKT
Indonesia,"AIS BUOY 4485 100",,,"No data (CLASS B transponder)",,JAKARTA,0,,"2019-08-30 08:58:07",-6.146605,106.8462,IDJKT
Indonesia,"AIS BUOY 2992 100",,,"No data (CLASS B transponder)",,JAKARTA,0,,"2019-08-29 06:56:46",-6.14684,106.8453,IDJKT
Indonesia,SCR2,JAKARTA,"2017-11-24 09:07:00",SMG,,JAKARTA,0,"Special Craft","2020-04-11 03:46:28",-6.07609,106.7859,IDJKT
Indonesia,"PESUT II",,"2018-08-23 00:59:00","PHE ONWJ",,JAKARTA,8519617,"Special Craft","2018-05-29 04:45:42",-6.112233,106.8667,IDJKT
Indonesia,"PETRO PERKASA",PALEMBANG,"2019-12-25 17:24:00",PALEMBANG,,JAKARTA,8989056,"Special Craft","2018-05-23 08:15:15",-6.126472,106.8857,IDJKT
Indonesia,GALAPAGOS,JAKARTA,"2018-01-18 23:00:00",JAKARTA,,"JAKARTA ANCH",8518912,Cargo,"2018-05-26 04:34:44",-6.067962,106.866,
Indonesia,INDRANI,,"2021-03-06 22:00:00","TG JATI",,JAKARTA,8516689,Cargo,"2021-07-28 10:00:27",-6.126118,106.8889,IDJKT
Indonesia,"COSMIC 12",JAKARTA,"2018-04-19 17:00:00","TANJUNG PRIOK",,JAKARTA,8907632,Tanker,"2018-04-19 01:27:51",-6.096072,106.9303,IDJKT
Indonesia,"MARCOPOLO 87",,"1900-01-01 00:00:00","No data (CLASS B transponder)",,"JAKARTA ANCH",0,Unspecified,"2018-08-28 20:36:49",-6.068085,106.8889,
Indonesia,"KM. CIPTA ILAHI",,,"No data (CLASS B transponder)",,JAKARTA,0,Cargo,"2019-04-08 05:20:08",-6.096567,106.9298,IDJKT
Indonesia,"ARMADA MOBIL PLAZA",,"1900-01-01 00:00:00","M A K A S S A R",,JAKARTA,7330753,Cargo,"2018-02-27 14:08:47",-6.103575,106.9758,IDJKT
Indonesia,JETSTREAM,"BATU AMPAR","2017-11-02 18:00:00",BATAM,,JAKARTA,0,"Special Craft","2018-02-26 03:45:20",-6.103575,106.7936,IDJKT
Indonesia,"RIKA JAYA DUA",,"1900-01-01 00:00:00",,,JAKARTA,8410536,Tanker,"2018-10-22 22:33:25",-6.120963,106.8757,IDJKT
Indonesia,"BNI GEOSURVEY",JAKARTA,"2017-10-21 13:30:00",JAKARTA,,JAKARTA,8108054,"Special Craft","2017-07-14 01:34:22",-6.09538,106.8811,IDJKT
Indonesia,"TANTO JKT",ALANG,"2018-01-12 23:00:00",ALANG-INDIA,,JAKARTA,0,Cargo,"2018-10-30 07:40:12",-6.124435,106.8925,IDJKT
Indonesia,PARKIT,JAKARTA,"2015-07-20 22:00:00",TG.PRIOK,,JAKARTA,7047198,"Special Craft","2017-10-20 09:48:08",-6.122396,106.812,IDJKT
Indonesia,"BERKAT ILAHI",,,"No data (CLASS B transponder)",,JAKARTA,0,Cargo,"2018-10-30 09:54:03",-6.105443,106.791,IDJKT
Indonesia,4011,,"1900-01-01 00:00:00",,,JAKARTA,0,Unspecified,"2018-04-23 03:34:16",-6.1114,106.8718,IDJKT
Indonesia,"SOECHI CHEMICAL XIX",,"2020-04-28 12:00:00","SMI GALANGAN",,JAKARTA,8403624,Tanker,"2020-07-06 08:18:51",-6.101868,106.8826,IDJKT
Indonesia,"STAR VIII",,,"No data (CLASS B transponder)",,JAKARTA,0,"Pleasure Craft","2018-05-04 07:24:19",-6.097473,106.8013,IDJKT
Indonesia,"INA LATU",,"1900-01-01 00:00:00",,,"JAKARTA ANCH",7435307,"Special Craft","2017-09-08 06:37:47",-6.0793,106.892,
Indonesia,DRE,,"2017-07-09 15:00:00","BCS F/S *GTU*LOH",,JAKARTA,8845080,"Special Craft","2017-10-24 05:06:03",-6.109509,106.8937,IDJKT
Indonesia,"BATAM INDAH II","SINGAPORE ANCH","2017-11-02 22:35:00",BATAM,,"JAKARTA ANCH",0,"Pleasure Craft","2017-11-02 17:30:25",1.177623,103.8813,
Indonesia,"NUSANTARA AKBAR",JAKARTA,"2017-04-15 20:00:00","JAKARTA COY",,JAKARTA,8317411,Tanker,"2017-08-12 17:06:57",-6.11769,106.8865,IDJKT
